// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
风光	feng1guang1	1 scene 2 view 3 sight 4 landscape 5 to be well-regarded 6 to be well-off 7 grand (dialect) 8 impressive (dialect)
封	feng1	1 to confer 2 to grant 3 to bestow a title 4 to seal 5 classifier for sealed objects, esp. letters
疯	feng1	1 insane 2 mad 3 wild
疯狂	feng1kuang2	crazy; frenzied; wild
扶	fu2	1 to support with the hand 2 to help sb up 3 to support oneself by holding onto something 4 to help
服从	fu2cong2	1 to obey (an order) 2 to comply 3 to defer
幅	fu2	1 width 2 roll 3 classifier for textiles or pictures
幅度	fu2du4	1 width 2 extent 3 range 4 scope
福利	fu2li4	1 material benefit 2 benefit in kind 3 (social) welfare
辅助	fu3zhu4	1 to assist; to aid 2 supplementary; auxiliary
负责人	fu4ze2ren2	person in charge
附件	fu4jian4	1 appendix (in a document) 2 enclosure (accompanying a document) 3 (email) attachment 4 accessory (for a car, computer etc) 5 (anatomy) adnexa
改革	gai3ge2	1 reform M: 次cì [次] / 种zhǒng [种] / 项xiàng [项] 2 to reform
干脆	gan1cui4	1 candid 2 direct and to the point 3 simply 4 just 5 might as well
干扰	gan1rao3	1 to disturb 2 to interfere 3 perturbation 4 interference (physics)
干预	gan1yu4	1 to meddle 2 to intervene 3 intervention
感想	gan3xiang3	1 impressions 2 reflections 3 thoughts M: 通tòng [通] / 个gè [个]
钢笔	gang1bi3	fountain pen M: 支zhī [支]
钢琴	gang1qin2	piano M: 架jià [架] / 台tái [台]
高大	gao1da4	tall; lofty; towering
高度	gao1du4	1 height 2 altitude 3 elevation 4 high degree 5 highly M: 个gè [个]
高跟鞋	gao1gen1xie2	high-heeled shoes
高温	gao1wen1	high temperature
高于	gao1yu2	1 greater than 2 to exceed
高原	gao1yuan2	plateau M: 片piàn [片]
搞	gao3	1 to do 2 to make 3 to go in for 4 to set up 5 to get hold of 6 to take care of
搞好	gao3hao3	1 to do well at 2 to do a good job
歌曲	ge1qu3	song
隔壁	ge2bi4	1 next door 2 neighbor
个儿	ge4r5	1 size 2 height 3 stature
跟前	gen1qian5	(of children, parents etc) at one's side; living with one
跟随	gen1sui2	to follow
更换	geng1huan4	1 to replace (a worn-out tire etc) 2 to change (one's address etc)
更新	geng1xin1	1 to replace the old with new 2 to renew 3 to renovate 4 to upgrade 5 to update 6 to regenerate
工艺	gong1yi4	1 arts and crafts 2 industrial arts
工作日	gong1zuo4ri4	1 workday 2 working day 3 weekday
公告	gong1gao4	1 post 2 announcement
公认	gong1ren4	1 publicly known (to be) 2 accepted (as)
公式	gong1shi4	formula
公正	gong1zheng4	just; fair; equitable
共计	gong4ji4	1 to sum up to 2 to total
共享	gong4xiang3	1 to share 2 to enjoy together
沟	gou1	1 ditch 2 gutter 3 groove 4 gully 5 ravine M: 道dào [道]
沟通	gou1tong1	1 to join; to connect; to link up 2 to communicate
估计	gu1ji4	1 to estimate; to assess; to calculate 2 (coll.) to reckon; to think (that ...)
古老	gu3lao3	1 ancient 2 old 3 age-old
鼓	gu3	1 drum M: 通tòng [通] / 面miàn [面] 2 to drum 3 to strike 4 to rouse 5 to bulge 6 to swell
鼓励	gu3li4	to encourage
鼓掌	gu3zhang3	1 to applaud 2 to clap
顾问	gu4wen4	1 adviser 2 consultant
怪	guai4	1 bewildering 2 odd 3 strange 4 uncanny 5 devil 6 monster 7 to wonder at 8 to blame 9 quite 10 rather
关怀	guan1huai2	1 care 2 solicitude 3 to show care for 4 concerned about 5 attentive to
关键	guan1jian4	1 crucial point 2 crux M: 个gè [个] 3 key 4 crucial 5 pivotal
冠军	guan4jun1	champion
光荣	guang1rong2	1 honor and glory 2 glorious
光线	guang1xian4	1 light ray M: 条tiáo [条] / 道dào [道] 2 light 3 illumination 4 lighting (for a photograph)
广	guang3	1 wide 2 numerous 3 to spread
广泛	guang3fan4	wide; broad; extensive; widespread
规划	gui1hua4	1 to draw up a plan; to map out a program 2 a plan; a program
鬼	gui3	1 disembodied spirit; ghost; devil 2 (suffix) person with a certain vice or addiction etc 3 sly; crafty; resourceful (variant of 诡guǐ [诡]) 4 one of the 28 constellations of ancient Chinese astronomy
柜子	gui4zi5	1 cupboard 2 cabinet
滚	gun3	1 to boil 2 to roll 3 to take a hike 4 Get lost!
锅	guo1	1 pot; pan; wok; cauldron 2 pot-shaped thing M: 口kǒu [口] / 只zhī [只]
国籍	guo2ji2	nationality
国民	guo2min2	1 nationals 2 citizens 3 people of a nation
过度	guo4du4	1 excessive 2 over- 3 excess 4 going too far 5 extravagant 6 intemperate 7 overdue
过敏	guo4min3	1 (medicine) allergic; hypersensitive 2 (fig.) oversensitive; prone to overreact
过于	guo4yu2	excessively; too
害	hai4	1 to do harm to 2 to cause trouble to 3 harm 4 evil 5 calamity
汗	han4	1 perspiration 2 sweat M: 滴dī [滴] / 头tóu [头] / 身shēn [身] 3 to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)
好运	hao3yun4	good luck
号召	hao4zhao4	1 to call 2 to appeal
合并	he2bing4	1 to merge 2 to annex
合成	he2cheng2	1 to compose 2 to constitute 3 compound 4 synthesis 5 mixture 6 synthetic
盒	he2	1 small box 2 case
盒饭	he2fan4	meal in a partitioned box
盒子	he2zi5	1 box; case 2 hezi – a savory turnover-like pie in northern Chinese and Mongolian cuisines
