爱心	ai4xin1	noun love; compassion; caring
感受	gan3shou4	verb be affected by; catch  noun experience; feeling
干吗	gan4ma2	colloquial adverb why; why on earth; whatever for  verb what to do
高速	gao1su4	noun 1 high (or fast) speed (opp. 低速) 2 abbreviation expressway; freeway
高速公路	gao1su4gong1lu4	expressway; freeway
告别	gao4bie2	verb 1 leave; part from; take leave of 2 bid farewell to; say goodbye to 3 pay one's last respects (to the deceased)
歌迷	ge1mi2	noun (song) fan
歌声	ge1sheng1	noun sound of singing; singing
歌手	ge1shou3	noun singer; vocalist
个人	ge4ren2	noun individual; single person (opp. 集体)  adjective individual; personal  pronoun [referring to oneself] I
个性	ge4xing4	noun 1 (of a person) individual character; individuality; personality 2 philosophy (of things in general) particularity
各	ge4	pronoun 1 all; every 2 various; different 3 each; either  adverb variously; respectively
各地	ge4di4	1 in all parts of (a country) 2 various regions
各位	ge4wei4	pronoun 1 everybody; everyone [term of address] 2 every
各种	ge4zhong3	every kind of; all kinds of; various
各自	ge4zi4	pronoun each; everyone; individual
根本	gen1ben3	noun foundation; base; root  adjective basic; fundamental; essential; cardinal  adverb 1 [usu. in the negative] at all; simply; ever 2 radically; thoroughly
更加	geng4jia1	adverb more; still more; even more
工厂	gong1chang3	noun factory; mill; plant; works
工程师	gong1cheng2shi1	engineer
工夫	gong1fu5	noun 1 time 2 spare (or free) time 3 dialect period of time 4 effort; work
工具	gong1ju4	noun tool; instrument; implement; means
工业	gong1ye4	noun industry
工资	gong1zi1	noun wage; pay; salary
公布	gong1bu4	verb proclaim; promulgate; announce; publish; make public
公共	gong1gong4	noun abbreviation VARIANT OF 21698304公共汽车gong1gong4qi4che1公共汽车 (public) bus  adjective public; common; communal; owned and shared by all
公开	gong1kai1	verb make public; make known to the public; open; exhibit  adjective open; overt; public; open-end (opp. 秘密)  adverb openly; overtly; publicly
公民	gong1min2	noun citizen; civil
公务员	gong1wu4yuan2	noun 1 public functionary; government office worker; civil servant; government employee 2 dated orderly
功夫	gong1fu5	noun 1 skill 2 kung fu 3 VARIANT OF 21658112工夫gong1fu5工夫 a time b spare (or free) time c dialect period of time d effort; work
功课	gong1ke4	noun 1 schoolwork; homework 2 school subject; lesson
功能	gong1neng2	noun function linguistics
共同	gong4tong2	adjective shared; common  adverb together; jointly
共有	gong4you3	1 in total there are ... 2 to own jointly
姑娘	gu1niang5	noun 1 girl 2 colloquial daughter 3 dated prostitute
古	gu3	adjective 1 ancient; age-old; palaeo- 2 literary simple and sincere  noun 1 ancient times (opp. 今) 2 abbreviation VARIANT OF 21856000古体诗gu3ti3shi1古体诗 a form of pre-Tang poetry, usu. having five or seven characters to each line, without strict tonal patterns or rhyme schemes (opp. 近体诗) 3 (Gǔ) a surname
古代	gu3dai4	noun 1 the period in Chinese history from remote antiquity down until the mid-19th century 2 the age of slave society; ancient times; antiquity
故乡	gu4xiang1	noun hometown; native place; birthplace
挂	gua4	verb 1 hang; put up 2 remain unsettled; unresolved 3 hang up; ring off 4 call (or phone, ring) up; put through to 5 hitch; get caught; snag 6 be concerned about 7 covered (or coated) with 8 register (at a hospital, etc.) 9 stay (online)  measure word set or string (of objects)
关系	guan1xi5	noun 1 connections; relations; relationship 2 [often used correlatively with 没有, 有] relevance; bearing; influence; significance 3 [usu. with 由于 or 因为 to indicate cause or reason] 4 credentials showing membership in or affiliation with an organization 5 euphemistic (extramarital) sexual relations  verb concern; affect; have a bearing on; have to do with
关注	guan1zhu4	verb follow with interest; pay close attention to; show solicitude for
观察	guan1cha2	verb observe; watch; survey
观看	guan1kan4	verb watch; view
观念	guan1nian4	noun sense; idea; concept
观众	guan1zhong4	noun spectator; viewer; audience
管	guan3	noun 1 tube; pipe 2 wind instrument 3 electronics valve; tube 4 (Guǎn) a surname  measure word [for long, thin cylinder-shaped objects]  verb 1 manage; run; control; take care of; be in charge of 2 have jurisdiction over; administer 3 discipline (children or students) 4 be concerned about; care about; bother about; intervene 5 provide; guarantee  preposition dialect 1 [in the pattern 管…叫… “call sb. (or sth.) as sb. (or sth.)”] 2 from  conjunction dialect no matter (who, what, how, etc.)
管理	guan3li3	verb 1 manage; run; administer; govern; be in charge of 2 look after; take care of; attend to 3 control (people or animals); tend
光	guang1	noun 1 light; ray 2 scenery 3 honour; glory 4 brightness; lustre 5 figurative advantage; benefit; goodness  verb 1 all gone; used up; nothing left 2 bare; naked 3 literary glorify; bring honour to 4 [used in polite formulas] 5 add (or do) honour to; win honour for; bring (or give) glory to; add (or shed, throw) lustre on  adjective 1 bright 2 smooth; glossy; polished 3 smooth; glossy; polished; sleek  adverb 1 only; alone 2 polite expression being graced (or honoured)
光明	guang1ming2	noun light  adjective 1 bright; well-lit 2 bright; promising 3 open-hearted; guileless
广播	guang3bo1	verb 1 broadcast; be on the air 2 literary publicize; spread  noun (radio) broadcast
广大	guang3da4	adjective 1 (of an area or space) vast; wide; extensive 2 large-scale; widespread 3 (of people) numerous
规定	gui1ding4	noun rule; regulation; prescription; stipulation  verb stipulate; provide; prescribe
规范	gui1fan4	noun 1 standard; norm 2 electricity gauge  verb regulate; standardize  adjective regular; normal; standard
国内	guo2nei4	noun internal; domestic; home
国庆	Guo2qing4	noun National Day (in China observed on October 1)
果然	guo3ran2	adverb really; as expected; sure enough  conjunction if indeed; if really
果汁	guo3zhi1	noun fruit juice
过程	guo4cheng2	noun course; process
过去	guo4//qu5	verb 1 go over; pass by; go by 2 euphemistic pass away
哈哈	ha1ha5	noun joke; fun
海关	hai3guan1	noun customhouse; customs
害怕	hai4pa4	verb be afraid; be scared
行	xing2	noun behaviour; conduct  verb 1 literary go; walk; travel 2 be current; circulate 3 do; perform; carry out 4 [before a disyllabic verb, indicating the performance of some action] 5 be all right; will do 6 (of medicine) take effect  adjective 1 temporary; makeshift 2 capable; competent  adverb literary soon
好好	hao3hao3	well; carefully; nicely; properly
好奇	hao4qi2	adjective curious; full of curiosity
合	he2	verb 1 close; shut 2 join; combine (opp. 分) 3 suit; agree 4 be equal to; add up to 5 literary be proper  noun 1 literary match; marriage; spousing 2 astronomy conjunction  adjective whole  measure word VARIANT OF 23125760回合hui2he2回合  noun music note of the scale in gongchepu (工尺谱), corresponding to 5 in numbered musical notation
合法	he2fa3	adjective legal; lawful; legitimate; rightful
合格	he2ge2	adjective qualified; up to standard
合理	he2li3	adjective rational; reasonable; equitable
合作	he2zuo4	verb 1 cooperate; collaborate; work together 2 co-author; compose jointly
和平	he2ping2	noun peace  adjective peaceful  VARIANT OF 27916288平和ping2he2平和 adjective 1 gentle; mild; moderate; placid 2 (of medicine) mild
红茶	hong2cha2	noun black tea
红酒	hong2jiu3	noun red wine; port wine
后果	hou4guo3	noun consequence; aftermath
后面	hou4mian5	noun 1 back; rear 2 later time; future
后年	hou4nian2	noun year after next
互联网	hu4lian2wang3	noun Internet
互相	hu4xiang1	adverb mutually; each other
划船	hua2//chuan2	verb paddle; row (a boat)
华人	hua2ren2	noun 1 Chinese 2 foreign citizen of Chinese origin
化	hua4	noun 1 abbreviation chemistry 2 (Huà) a surname  verb 1 change; turn; transform 2 convert; influence 3 melt; dissolve 4 digest 5 burn up 6 religion die 7 [as a verb suffix] -ize; -ify  verb (of Buddhist monks or Taoist priests) beg alms
话剧	hua4ju4	noun modern drama; stage play
话题	hua4ti2	noun subject of a talk; topic of conversation
欢乐	huan1le4	noun pleasure; happiness; joy  adjective happy; joyous
环	huan2	noun 1 ring; hoop 2 link 3 sports ring  verb surround; encircle; hem in
环保	huan2bao3	noun abbreviation environmental protection  adjective environmentally friendly; green
环境	huan2jing4	noun environment; surroundings; circumstances
会议	hui4yi4	noun 1 meeting; conference 2 council; congress
会员	hui4yuan2	noun member
活	huo2	verb 1 live (opp. 死) 2 save (a person's life)  adjective 1 alive; living 2 vivid; lively; flexible 3 movable; moving  adverb exactly; simply  noun 1 work; job 2 product
火	huo3	noun 1 fire 2 firearms; ammunition; fire 3 Chinese medicine internal heat—one of the six causes of disease 4 anger; temper  verb get angry; be in a huff  adjective 1 fiery; flaming; red as fire 2 colloquial booming; prosperous  adverb urgently; pressing  measure word VARIANT OF 23294208伙huo3伙
机器	ji1qi4	noun machine; machinery; apparatus
积极	ji1ji2	adjective 1 positive 2 active; energetic; vigorous
基本	ji1ben3	noun foundation  adjective main; essential; basic; fundamental; elementary  adverb basically; in the main; on the whole; by and large
基本上	ji1ben3shang5	adverb 1 generally; principally; mainly 2 on the whole; by and large
基础	ji1chu3	noun foundation; base; basis
及时	ji2shi2	adjective timely; in time; seasonable  adverb promptly; without delay
…极了	…ji2le5
集体	ji2ti3	noun collective (opp. 个人)
集中	ji2zhong1	verb concentrate; centralize; focus; amass; put together (opp. 分散)
计算	ji4suan4	verb 1 count; compute; calculate 2 consider; plan 3 scheme; plot
记录	ji4lu4	noun 1 minutes; notes; record 2 notetaker 3 VARIANT OF 23542528纪录ji4lu4纪录 I 1 (sports) record  verb take notes; keep the minutes; record
记者	ji4zhe3	noun journalist; reporter; correspondent; newsman
纪录	ji4lu4	noun 1 (sports) record 2 VARIANT OF 23533824记录ji4lu4记录 I 1 2 minutes; notes; record notetaker 3 (sports) record   verb VARIANT OF 23533824记录ji4lu4记录 II take notes; keep the minutes; record
纪念	ji4nian4	noun 1 souvenir; keepsake; memento 2 commemoration day; anniversary  verb commemorate; mark
技术	ji4shu4	noun technology; skill; technique
继续	ji4xu4	verb continue; go on  noun continuation
加工	jia1//gong1	verb 1 process 2 improve; polish (writings); put final touches to
加快	jia1kuai4	verb quicken; speed up; accelerate; pick up speed
加强	jia1qiang2	verb strengthen; enhance; augment; reinforce (opp. 削弱)  adjective reinforced military
家具	jia1ju5	noun furniture
家属	jia1shu3	noun family members; (family) dependents
家乡	jia1xiang1	noun hometown; native place
价格	jia4ge2	noun price
价钱	jia4qian5	noun price
价值	jia4zhi2	noun value  verb be worth; value
架	jia4	noun 1 frame; rack; shelf; stand 2 fight; quarrel  verb 1 put up; erect 2 fend off; ward off; withstand 3 support; prop; help 4 kidnap; take sb. away forcibly  measure word 1 [for machines, airplanes, and instruments which rest on a tripod or stand] 2 dialect [for mountains]
坚持	jian1chi2	verb persist in; persevere in; uphold; insist on; stick to; adhere to
坚决	jian1jue2	adjective firm; resolute; determined
